date,description,event_type
1902-05-31,Second Boer War ends in British victory.,war
1903-06-11,King Alexander I of Serbia and his wife Queen Draga are assassinated in a military coup .,political instability
1904-02-08,A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .,war
1905-01-22,The Revolution of 1905 in Russia erupts.,political instability
1905-03-31,"The First Moroccan Crisis begins, going until April 1906. [5]",catastrophe
1905-09-05,The Russo-Japanese War ends in Japanese victory.,war
1906-04-18,"An earthquake in San Francisco, California , magnitude 7.9, kills 3,000.",natural disaster
1906-08-16,"An earthquake in Valparaíso, Chile , magnitude 8.2, kills 20,000.",natural disaster
1906-09-28,The US begins the Second Occupation of Cuba .,war
1908-06-30,The Tunguska event devastates thousands of square kilometres of Siberia.,natural disaster
1908-12-28,"The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people.",natural disaster
1909-03-04,William Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.,political instability
1909-04-13,A countercoup fails in the Ottoman Empire.,political instability
1910-11-20,Beginning of the Mexican Revolution ( Plan of San Luis Potosí ).,war
1911-03-25,Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.,catastrophe
1911-09-29,"The Italo-Turkish war which led to the capture of Libya by Italy , begins.",war
1912-04-15,Sinking of the RMSTitanic .,catastrophe
1912-10-08,The First Balkan War begins.,war
1913-01-23,"In the 1913 Ottoman coup d'état , Ismail Enver comes to power.",political instability
1913-02-09,Ten Tragic Days in Mexico City .,catastrophe
1913-05-29,Igor Stravinsky 's The Rite of Spring infamously premiers in Paris which causes a riot. [10],catastrophe
1914-06-28,"Gavrilo Princip  assassinates  Archduke Franz Ferdinand of Austria in Sarajevo , triggering the start of World War I that day.",war
1914-08-26,Battle of Tannenberg .,war
1914-09-01,"Martha , last known passenger pigeon , dies.",catastrophe
1914-09-06,First Battle of the Marne .,war
1915-04-22,"Second Battle of Ypres begins, first widespread use of poison gas.",war
1915-04-24,The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian genocide . [11],catastrophe
1915-05-07,Sinking of the RMSLusitania .,catastrophe
1915-07-28,"In the Banana Wars , the United States occupation of Haiti begins.",war
1916-01-09,The Allies' Gallipoli campaign ends in failure; heavy losses of Australian troops.,war
1916-06-06,The Warlord Era begins in China after the death of Yuan Shikai .,war
1916-06-10,The Arab Revolt begins.,war
1916-09-15,First use of tanks at the Battle of Flers–Courcelette .,war
1916-12-30,Grigori Rasputin is assassinated in Russia.,catastrophe
1917-04-06,USA joins the Entente for the last 17 months of World War I.,war
1917-11-01,The Third Battle of Gaza ends in British victory.,war
1917-11-08,The Ukrainian–Soviet War begins.,war
1918-03-11,"Beginning of the Spanish flu pandemic , which lasts until April 1920 and kills tens of millions.",pandemics
1918-03-30,The Armenian–Azerbaijani War begins.,war
1918-07-16,Assassination of Tsar Nicholas II and his family.,catastrophe
1918-08-08,Battle of Amiens .,war
1918-11-01,"November 1 :
 Independence declared in theWest Ukrainian People's Republic.ThePolish–Ukrainian Warbegins.",war
1918-11-11,"November 11 :
 TheArmistice of 11 November 1918endsWorld War I.Polanddeclares independence from Russia.",war
1919-01-21,The First Red Scare in the United States. Irish War of Independence begins.,war
1919-02-14,Polish–Soviet War begins.,war
1919-04-13,"The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500.",catastrophe
1919-05-19,Turkish War of Independence begins.,war
1919-07-18,End of Polish–Ukrainian War .,war
1920-02-02,Victory for Estonia in the Estonian War of Independence .,war
1920-04-27,Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.,war
1921-03-18,End of the Polish–Soviet War .,war
1921-07-29,Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.,political instability
1921-11-17,End of the Ukrainian–Soviet War .,war
1922-02-02,James Joyce publishes Ulysses .,war
1922-06-28,The Irish Civil War begins.,war
1922-12-16,"Gabriel Narutowicz , President of Poland , is assassinated.",political instability
1923-01-26,The Italian reconquest of Libya begins.,war
1923-05-24,The Irish Civil War ends.,war
1923-06-09,A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski .,political instability
1923-09-01,"The Great Kantō earthquake kills at least 105,000 people in Japan .",natural disaster
1923-10-11,Turkish War of Independence ends; Ankara replaces Istanbul as its capital.,war
1923-11-08,"The Beer Hall Putsch , an attempt to overthrow the Weimar Republic , ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention.",political instability
1923-11-15,Hyperinflation in the Weimar Republic ends with the introduction of the Rentenmark .,catastrophe
1924-01-21,The death of Vladimir Lenin triggers power struggle between Leon Trotsky and Joseph Stalin .,political instability
1924-08-28,The August Uprising in Georgia against Soviet rule.,war
1925-07-18,Hitler's Mein Kampf is published.,war
1926-05-12,May Coup in Poland.,political instability
1926-05-28,28 May 1926 coup d'état in Portugal.,political instability
1926-07-01,"The Kuomintang begins the Northern Expedition , a military unification campaign in northern China.",war
1926-08-22,General Georgios Kondylis overthrows General Theodoros Pangalos in Greece.,political instability
1926-12-25,"Emperor Taishō dies; his son, the Emperor Shōwa (Hirohito) becomes Emperor of Japan.",political instability
1927-05-18,"The Bath School disaster , a series of violent attacks by Andrew Kehoe results in 45 deaths in Michigan , USA.",catastrophe
1927-08-01,The Chinese Civil War begins. [15],war
1927-11-12,Soviet general secretary  Joseph Stalin becomes dictator of the Soviet Union .,political instability
1928-11-14,Afghan Civil War (1928–1929) begins.,war
1928-12-29,The Warlord Era ends in China.,war
1929-02-14,"Saint Valentine's Day Massacre , the murder of seven members and associates of Chicago's North Side Gang .",catastrophe
1929-10-24,Wall Street Crash of 1929 and the beginning of the Great Depression .,catastrophe
1930-04-19,"Sinkin' in the Bathtub , the first Looney Tunes short, is released.",catastrophe
1932-03-01,Lindbergh kidnapping .,catastrophe
1932-06-04,Military coup in Chile .,political instability
1932-09-09,The Chaco War between Bolivia and Paraguay begins.,war
1934-02-12,The Austrian Civil War results in Fascist victory.,war
1934-05-23,Bonnie and Clyde are shot to death in a police ambush.,catastrophe
1934-06-30,"Adolf Hitler instigates the Night of the Long Knives , which cements his power over both the Nazi Party and Germany.",war
1934-07-25,"Engelbert Dollfuss , Chancellor of Austria, is shot dead as part of a failed Nazi coup d'état .",political instability
1935-06-12,Chaco War ends.,war
1935-10-03,The Second Italo-Ethiopian War begins and goes until February 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini .,war
1936-07-17,Beginning of the Spanish Civil War .,war
1936-09-07,"""Benjamin"", the last known thylacine , dies in Hobart Zoo .",catastrophe
1936-10-31,Boy Scouts of the Philippines is founded.,pandemics
1937-05-06,"German zeppelin Hindenburg  crashes in Lakehurst, New Jersey , ending the airship era .",catastrophe
1937-07-07,"Japanese invasion of China , and the beginning of World War II in the Far East .",war
1937-09-21,J. R. R. Tolkien publishes The Hobbit .,catastrophe
1937-12-13,"The Nanjing Massacre begins, ending about a month later in January 1938. It results in from 40,000 to 300,000 deaths according to various estimates.",catastrophe
1938-04-18,DC Comics hero Superman has its first appearance.,catastrophe
1938-09-30,Munich Agreement hands Czechoslovakia to Nazi Germany.,war
1938-11-09,"Kristallnacht , a pogrom of over 90 Jews in Germany.",catastrophe
1939-08-23,The Molotov–Ribbentrop Pact between Germany and the Soviet Union.,war
1939-09-01,Nazi invasion of Poland triggers World War II in Europe. Soviet invasion of Poland begins 16 days later.,war
1939-09-03,Britain and France declare war on Germany; World War II begins.,war
1940-03-13,The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.,war
1940-08-20,Leon Trotsky is assassinated in Mexico.,political instability
1940-09-07,"The Blitz , a German bombing campaign against the United Kingdom, begins.",war
1941-06-25,Continuation War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.,war
1941-09-08,Siege of Leningrad begins.,war
1941-12-07,The Japanese Attack on Pearl Harbor leads to the USA joining World War II .,war
1942-04-09,Bataan Death March .,war
1942-05-04,Battle of the Coral Sea .,war
1942-05-05,Battle of Corregidor .,war
1942-06-04,Battle of Midway .,war
1942-07-01,First Battle of El Alamein .,war
1943-02-02,Battle of Stalingrad ends with over two million casualties and the retreat of the German Army.,war
1944-01-27,The Siege of Leningrad ends with Soviet victory after over a million deaths.,war
1944-06-06,D-Day landings in Normandy.,war
1944-07-20,Adolf Hitler survives the 20 July plot to assassinate him led by Claus von Stauffenberg .,political instability
1944-09-19,The Continuation War ends.,war
1945-02-13,Allied bombing of Dresden .,war
1945-02-03,Battle of Manila .,war
1945-08-06,Harry S. Truman orders the atomic bombings of Hiroshima and Nagasaki .,war
1945-09-02,"End of World War II in Asia with the beginning of the Surrender of Japan .
 Related subsequent announcement of theProclamation of Independence of the Democratic Republic of Vietnam.",war
1945-10-29,"In Brazil, Getúlio Vargas is deposed in a coup.",political instability
1947-08-14,Partition of India . Independence of India and Pakistan and beginning of First Indo-Pakistani War .,war
1948-01-30,Assassination of Mahatma Gandhi .,catastrophe
1948-05-15,The Arab–Israeli War begins.,war
1949-01-05,The First Indo-Pakistani War ends.,war
1949-03-10,The Arab–Israeli War ends.,war
1949-06-08,George Orwell publishes Nineteen Eighty-Four .,catastrophe
1950-06-25,North Korean invasion of South Korea begins the Korean War .,war
1953-06-16,An East German Uprising leads to the arrest and execution of Lavrentiy Beria ; power struggle begins between Georgy Malenkov and Nikita Khrushchev .,political instability
1953-07-27,End of the Korean War .,war
1953-08-19,Mohammed Mossadeq  deposed in Iran .,political instability
1954-07-29,"J. R. R. Tolkien publishes The Fellowship of the Ring , the first volume of The Lord of the Rings .",war
1954-08-01,First Indochina War ends.,war
1954-09-03,First Taiwan Strait Crisis begins.,catastrophe
1954-11-01,Algerian War begins.,war
1954-11-03,Godzilla is released in Japan .,catastrophe
1955-08-18,First Sudanese Civil War begins.,war
1956-10-29,Nasser's nationalisation of the Suez Canal triggers the Suez crisis .,catastrophe
1956-11-11,The Hungarian Uprising crushed by Soviet troops.,war
1957-03-17,Philippine President Ramon Magsaysay and 24 others are killed in a plane crash .,catastrophe
1959-11-01,"Beginning of the Vietnam War , which lasts until 1975.",war
1960-03-21,"The Sharpeville Massacre , in which the police opened fire against a protesting crowd at a police station in the South African township of Sharpeville in Transvaal, resulting in 69 deaths and 180 injuries.",catastrophe
1960-05-01,1960 U-2 incident sparks deterioration in relations between superpowers.,catastrophe
1960-05-22,"An earthquake in Valdivia, Chile of magnitude 9.4 to 9.6, the highest ever recorded, causes 1,000 to 6,000 deaths.",catastrophe
1960-10-12,"Inejiro Asanuma , a Japanese socialist politician, is assassinated during a broadcast on TV.",political instability
1961-01-17,The assassination of Patrice Lumumba begins the Congo Crisis .,political instability
1961-04-17,Bay of Pigs Invasion by Cuban exiles ends in failure.,catastrophe
1961-09-18,UN Secretary General  Dag Hammarskjöld dies in a plane crash .,catastrophe
1962-03-19,The Algerian War ends with the independence of Algeria .,war
1962-09-26,"A coup ends the Mutawakkilite Kingdom of Yemen , establishing the Yemen Arab Republic and starting the North Yemen Civil War .",war
1962-10-16,The Cuban Missile Crisis nearly causes nuclear war .,catastrophe
1963-01-20,Indonesia–Malaysia confrontation begins.,war
1963-05-08,Beginning of the Buddhist crisis in South Vietnam during the Vietnam War .,war
1963-11-02,"1963 South Vietnamese coup : Arrest and assassination of Ngo Dinh Diem , the South Vietnamese President.",political instability
1963-11-22,Assassination of John F. Kennedy . Vice President Lyndon B. Johnson assumes office as President of the United States.,political instability
1964-03-31,A coup d'état establishes a military dictatorship in Brazil .,catastrophe
1964-03-27,The Great Alaska Earthquake has a magnitude of 9.2 and lasted almost three minutes resulting in the death of approximately 131 people.,natural disaster
1964-05-27,Colombian armed conflict begins.,war
1964-07-04,Rhodesian Bush War begins.,war
1964-08-02,The Gulf of Tonkin incident led to the escalation of U.S. military involvement in the Vietnam War .,war
1965-02-21,Assassination of Malcolm X .,catastrophe
1965-04-24,Dominican Civil War : Forces loyal to former president Juan Bosch overthrow current leader Donald Reid Cabral .,war
1965-05-18,Israeli spy Eli Cohen is hanged in Damascus .,catastrophe
1965-08-30,Bob Dylan releases Highway 61 Revisited .,catastrophe
1965-11-24,Congo Crisis ends; Joseph Mobutu becomes dictator of the Congo.,political instability
1966-10-21,"The Aberfan disaster , the catastrophic collapse of a colliery spoil tip (pile of waste coal mining material) in Aberfan, Wales results in 144 deaths.",catastrophe
1966-12-15,Death of Walt Disney .,catastrophe
1967-04-21,Greek military coup establishes a military dictatorship led by Georgios Papadopoulos. The dictatorship ends in 1974.,political instability
1967-06-05,"The Six-Day War , a conflict between Israel and Arab states that resulted in Israel occupying the Gaza Strip, the Sinal Peninsula, the West Bank and the Golan Heights.",war
1967-07-06,Attempted secession of the Republic of Biafra from Nigeria triggers the Nigerian Civil War .,war
1967-07-17,"Death of John Coltrane , American jazz saxophonist, clarinettist and composer.",catastrophe
1967-10-21,The March on the Pentagon becomes a major event in public opposition to the Vietnam War,war
1967-12-17,"Australian Prime Minister  Harold Holt disappears while swimming at Cheviot Beach , Victoria .",political instability
1968-03-16,"My Lai massacre , a mass murder and rape of unarmed South Vietnamese civilians by U.S. troops in the Vietnam War .",war
1968-03-21,Battle of Karameh in Jordan (part of the War of Attrition between Israel and Arab states).,war
1968-04-04,Assassination of Martin Luther King Jr.,catastrophe
1968-06-05,Assassination of Robert F. Kennedy,catastrophe
1969-04-28,Charles de Gaulle resigns as President of France after a referendum on political reform is voted down.,political instability
1969-08-08,"The Manson Family Murders – Under Charles Manson 's orders, his followers, the ""Manson Family"" cult, enter the home of Hollywood actress Sharon Tate and murder her and four others.",catastrophe
1970-01-15,The Nigerian Civil War ends with the reintegration of the Republic of Biafra with Nigeria after ~3 million deaths.,war
1970-01-26,First Quarter Storm civil unrest in the Philippines .,natural disaster
1970-04-10,Break-up of the Beatles .,catastrophe
1970-09-06,"Black September in Jordan begins, lasting until mid-1971.",war
1970-11-03,"The Bhola Cyclone kills 500,000 people in East Pakistan .",natural disaster
1970-12-01,North Yemen Civil War ends.,war
1970-12-14,1970 Polish protests .,political instability
1971-01-25,Idi Amin seizes power in Uganda .,political instability
1971-03-26,"Bangladesh Liberation War and Bangladesh genocide occur, independence of Bangladesh from Pakistan precipitates Third Indo-Pakistani War .",war
1971-08-09,Internment begins in Northern Ireland.,political instability
1972-01-30,Northern Ireland 's Bloody Sunday .,war
1972-03-27,The First Sudanese Civil War ends.,war
1972-05-08,"The airplane serving Sabena Flight 571 from Brussels to Lod, Tel Aviv is hijacked by four members of the Black September Organization, a Palestinian terrorist group, resulting in 3 deaths and 3 injuries.",catastrophe
1972-05-30,Lod Airport massacre .,catastrophe
1972-09-05,"The Munich massacre , perpetrated by the Black September terrorist organization and aimed at the Israeli Olympic team, results in 17 total deaths.",catastrophe
1973-03-01,Pink Floyd 's album The Dark Side of the Moon is released in the UK.,catastrophe
1973-09-11,1973 Chilean coup d'état .,political instability
1973-10-06,Yom Kippur War .,war
1974-09-12,Emperor Haile Selassie I of Ethiopia is overthrown in a military coup . Beginning of the Ethiopian Civil War .,war
1975-04-13,Bus massacre in Lebanon triggers the Lebanese Civil War which lasts until 1990,war
1975-04-17,The Cambodian Civil War ends with victory for the Khmer Rouge . Cambodian genocide begins.,war
1975-04-30,The Fall of Saigon ends the Vietnam War .,war
1975-06-25,"Prime Minister Indira Gandhi declares a state of emergency in India, suspending civil liberties and elections.",political instability
1975-11-11,Angola declares independence from Portugal and Angolan Civil War erupts.,war
1975-11-20,Death of Francisco Franco .,catastrophe
1975-12-07,Indonesian invasion of East Timor begins.,war
1976-03-24,1976 Argentine coup d'état leads to a military dictatorship in Argentina.,political instability
1977-02-09,Queen Alia of Jordan is killed in helicopter crash.,catastrophe
1977-03-27,"The Tenerife disaster in the Canary Islands, with 583 fatalities, marks the deadliest accident in aviation history.",catastrophe
1977-07-13,Somalia declares war on Ethiopia setting off the Ethio-Somali War .,war
1977-09-05,German Autumn : Red Army Faction abduction of Hanns Martin Schleyer .,war
1978-02-05,"The Northeastern United States blizzard of 1978 hits the New England region and the New York metropolitan area , killing about 100, and causing over US$520 million in damage.",catastrophe
1978-03-14,1978 South Lebanon conflict .,war
1978-04-27,The War in Afghanistan begins with the Saur Revolution .,war
1978-09-28,"John Paul I dies, his papacy being one of the shortest in history.",political instability
1978-10-09,The Uganda–Tanzania War begins.,war
1978-11-18,"Jim Jones 's New religious movement , the Peoples Temple , ends in the organized mass killing and suicide of 920 people in Jonestown .",catastrophe
1978-11-27,San Francisco Mayor George Moscone and City Supervisor Harvey Milk are assassinated by former Supervisor Dan White .,political instability
1978-12-25,The Cambodian-Vietnamese War begins.,war
1979-01-07,The Vietnamese invasion of Kampuchea ends Cambodia's Khmer Rouge regime.,war
1979-03-28,"The Three Mile Island nuclear accident , a partial meltdown of reactor number 2 of Three Mile Island Nuclear Generating Station (TMI-2) in Dauphin County, Pennsylvania, near Harrisburg, and subsequent radiation leak.",catastrophe
1979-06-03,The Uganda–Tanzania War ends with defeat for Uganda and the exile of Idi Amin .,war
1979-06-11,Death of John Wayne .,catastrophe
1979-10-15,Beginning of the Salvadoran Civil War .,war
1979-10-26,"Assassination of Park Chung Hee , President of South Korea.",political instability
1979-11-04,The Iran hostage crisis begins.,catastrophe
1979-12-12,The Rhodesian Bush War ends.,war
1979-12-24,The Soviet–Afghan War begins.,war
1980-05-18,"1980 eruption of Mount St. Helens in Skamania County , state of Washington , leaves approximately 57 deaths and $1 billion of property damage.",natural disaster
1980-09-22,Beginning of the Iran–Iraq War .,war
1980-12-08,Murder of John Lennon .,catastrophe
1981-03-30,Assassination attempt on U.S. president Ronald Reagan.,political instability
1981-05-13,Pope John Paul II assassination attempt .,catastrophe
1981-06-05,"The AIDS epidemic officially begins in the United States, having originated in Africa; making this to be an ongoing pandemic.",pandemics
1981-06-07,"Operation Opera , a surprise airstrike conducted by the Israeli Air Force on an unfinished Iraqi nuclear reactor near Baghdad.",war
1981-10-06,Assassination of Anwar Sadat .,catastrophe
1981-12-13,Martial law in Poland begins.,war
1982-02-02,"The Hama massacre in Syria, a conflict between Syria and the Muslim Brotherhood , results in a decisive Syrian victory and about 10,000 deaths.",war
1982-06-06,First Israeli invasion of Lebanon begins.,war
1982-09-18,the Sabra and Shatila massacre of thousands of Palestinians during the Lebanese Civil War .,war
1983-04-18,The Bombing of U.S. Embassy in Beirut results in 63 deaths.,catastrophe
1983-06-05,Second Sudanese Civil War begins.,war
1983-07-23,Sri Lankan Civil War begins.,war
1983-09-01,"Korean Air Lines Flight 007 , a scheduled flight from New York City to Seoul via Anchorage, Alaska, is shot down by a Soviet Su-15 interceptor, resulting in 269 fatalities and no survivors. This leads to the declassification of GPS development.",catastrophe
1983-10-23,"The Beirut barracks bombing results in the deaths of 307 people, hastening the removal of international peacekeeping forces in Lebanon .",catastrophe
1983-10-25,Invasion of Grenada by the United States.,war
1984-06-01,"Indian Armed Forces launch Operation Blue Star against Sikh separatists in Punjab, India, leading to thousands of civilian deaths.",war
1985-08-20,"Beginning of the Iran–Contra affair , a political scandal in the United States that occurred during the second term of the Reagan Administration involving the sale of arms to the Khomeini government of the Islamic Republic of Iran.",political instability
1985-09-01,"73 years after its infamous disaster , the wreck of theTitanic is found off the coast of Newfoundland by a joint French–American expedition led by Jean-Louis Michel of IFREMER and Robert Ballard of the Woods Hole Oceanographic Institution .",catastrophe
1985-09-19,"An earthquake in Mexico City , magnitude 8.0, kills from 5,000 to 45,000 people.",natural disaster
1985-11-13,"The Armero tragedy , in which 20,000 people die following the eruption of the Nevado del Ruiz stratovolcano in Tolima , Colombia.",catastrophe
1986-01-12,South Yemen Civil War .,war
1986-01-28,"The Space ShuttleChallenger breaks apart 73 seconds into its flight, killing all seven crew members aboard.",catastrophe
1986-02-28,"Assassination of Olof Palme , Prime Minister of Sweden.",political instability
1986-04-15,U.S. planes bomb Libya in Operation El Dorado Canyon .,war
1986-04-26,The Chernobyl disaster in Ukraine kills about 100 people.,catastrophe
1986-10-19,"Samora Machel , the first President of Mozambique , dies in a plane crash .",catastrophe
1986-11-03,The Iran–Contra affair publicly announced.,war
1988-01-02,"Beginning of the perestroika (""restructuring""), a political movement for reformation within the Communist Party of the Soviet Union during the 1980s associated with Gorbachev and his glasnost (""openness"") policy reform.",political instability
1988-03-16,"The Halabja chemical attack is carried out by Iraqi government forces, killing thousands.",war
1988-07-06,"The Piper Alpha oil rig in the North Sea catches fire and explodes, killing 165.",catastrophe
1988-08-20,End of the Iran–Iraq War .,war
1988-10-05,Chile's Augusto Pinochet loses a national plebiscite on his rule.,political instability
1988-11-15,Israeli–Palestinian conflict ; beginning with the independent State of Palestine being proclaimed from Algiers .,war
1988-12-07,Spitak earthquake in Armenia.,natural disaster
1988-12-21,"Pan Am Flight 103 is destroyed by a bomb and falls over Lockerbie , Scotland, killing 259 people on-board, leaving no survivors, and 11 in town.",catastrophe
1989-02-14,Fatwa issued against Salman Rushdie .,catastrophe
1989-02-15,End of the Soviet war in Afghanistan .,war
1989-03-24,"The oil tanker Exxon Valdez spills 10.8 million US gallons of crude oil after striking a reef, causing severe damage to the environment.",catastrophe
1989-10-17,"The 6.9 Mw  Loma Prieta earthquake shakes the San Francisco Bay Area and the Central Coast, killing 63.",catastrophe
1989-11-24,The Communist government of Czechoslovakia falls during the Velvet Revolution .,political instability
1989-12-20,The United States invasion of Panama begins.,war
1989-12-24,The First Liberian Civil War begins.,war
1990-04-07,"Scandinavian Star , a Bahamas -registered ferry, catches fire en route from Norway to Denmark, leaving 158 dead.",catastrophe
1990-06-21,"The 7.4 M w   Manjil–Rudbar earthquake affects northern Iran with a maximum Mercalli intensity of X ( Extreme ), killing 35,000–50,000, and injuring 60,000–105,000.",catastrophe
1990-07-16,"An earthquake in Luzon happens, measuring M w  7.7 kills more than 1,600 in the Philippines .",natural disaster
1990-08-02,Gulf War begins.,war
1990-09-06,Myanmar Armed Forces place Aung San Suu Kyi under house arrest.,political instability
1990-11-02,Transnistria War begins.,war
1991-02-28,The Gulf War ends in US withdrawal and a failed uprising .,war
1991-03-23,Beginning of the Sierra Leone Civil War .,war
1991-05-21,"Assassination of Rajiv Gandhi , Indian Prime Minister.",political instability
1991-05-24,"Operation Solomon , a covert Israeli military operation to airlift Ethiopian Jews to Israel.",war
1991-06-12,Mount Pinatubo erupts with a Volcanic Explosivity Index of 6 and reduces global temperatures.,natural disaster
1991-06-27,The Ten-Day War in Slovenia begins the Yugoslav Wars .,war
1991-08-19,Soviet coup attempt of 1991 : A coup occurs in response to a new union treaty to be signed on August 20.,political instability
1991-08-25,"Michael Schumacher , regarded as one of the greatest Formula One drivers in history , makes his Formula One debut at the Belgian Grand Prix .",war
1991-12-26,"December 26 :
 Dissolution of the Soviet Unionand independence of 15 former Soviet republics.Beginning of theAlgerian Civil War.",war
1992-04-06,The Bosnian War begins.,war
1992-04-22,"Fuel leaking into a sewer causes a series of explosions in Guadalajara , Mexico; 215 are killed, 1,500 injured.",catastrophe
1992-04-29,Los Angeles riots over the acquittal of those involved in the beating of Rodney King .,catastrophe
1992-07-21,Transnistria War ends.,war
1992-08-24,Hurricane Andrew kills 65 and causes $26.5 billion in damages in the Bahamas and the United States.,natural disaster
1992-10-04,"El Al Flight 1862 , in which a Boeing 747 cargo aircraft of the then state-owned Israeli airline El Al crashes into the Groeneveen and Klein-Kruitberg flats in the Bijlmermeer neighbourhood of Amsterdam, resulting in 43 deaths.",catastrophe
1993-02-26,1993 World Trade Center bombing .,catastrophe
1993-02-28,"The Waco siege , the law enforcement siege of the compound that belonged to the Seventh-day Adventist religious sect Branch Davidians near Waco, Texas , carried out by the U.S. federal government, Texas state law enforcement, and the U.S. military, which results in a gunfight, a fire at the compound and 86 deaths.",catastrophe
1993-03-12,"Several bombs explode in Bombay , India, killing 257 and injuring hundreds more.",catastrophe
1993-08-24,1993 child sexual abuse accusations against Michael Jackson .,catastrophe
1993-10-03,"Battle of Mogadishu leaves over 3,000-4,000 people dead.",war
1993-10-04,"Tanks bombard the Russian parliament , while demonstrators against President Boris Yeltsin rally outside.",war
1993-11-30,Release date of Schindler's List .,catastrophe
1994-01-17,"The 6.7 Mw  Northridge earthquake strikes the Greater Los Angeles Area with a maximum Mercalli intensity of IX ( Violent ), leaving 57 people dead and more than 8,700 injured.",catastrophe
1994-02-25,"Cave of the Patriarchs massacre in the West Bank, a shooting massacre carried out by American-Israeli Baruch Goldstein , which resulted in 30 deaths and 125 injuries.",catastrophe
